Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$),eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),5/2/2024,300 x 250,5614261589,",10869286,11238766,21737767482,",185,0,"R$1,74 ","R$9,40 ","64,32%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),5/2/2024,320 x 50,5614261589,",10869286,11238766,21737767482,",82,1,"R$0,77 ","R$9,40 ","90,24%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),5/2/2024,728 x 90,5614261589,",10869286,11238766,21737767482,",30,0,"R$0,28 ","R$9,40 ","80,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),5/2/2024,970 x 250,5614261589,",10869286,11238766,21737767482,",30,0,"R$0,28 ","R$9,40 ","70,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),5/2/2024,320 x 50,5614261589,",10869286,11238766,21737767482,22834637125,",27,0,"R$0,25 ","R$9,40 ","92,59%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),5/2/2024,728 x 90,5614261589,",10869286,11238766,21737767482,22834637125,",91,0,"R$0,86 ","R$9,40 ","95,60%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),5/2/2024,300 x 250,5614261589,",10869286,11238766,21737767482,21823750911,22691595915,",1,0,"R$0,01 ","R$9,40 ","0,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246),5/1/2024,300 x 250,5614269563,",10869286,11238766,17743246,",9,0,"R$0,08 ","R$9,40 ","66,67%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246),5/1/2024,320 x 50,5614269563,",10869286,11238766,17743246,",5,0,"R$0,05 ","R$9,40 ","40,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246),5/2/2024,300 x 250,5614269563,",10869286,11238766,17743246,",21,0,"R$0,20 ","R$9,40 ","61,90%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246),5/2/2024,320 x 50,5614269563,",10869286,11238766,17743246,",6,0,"R$0,06 ","R$9,40 ","100,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246) » anchor (22834637230),5/1/2024,320 x 50,5614269563,",10869286,11238766,17743246,22834637230,",4088,9,"R$38,43 ","R$9,40 ","97,02%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246) » anchor (22834637230),5/1/2024,728 x 90,5614269563,",10869286,11238766,17743246,22834637230,",67,0,"R$0,63 ","R$9,40 ","95,52%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246) » anchor (22834637230),5/2/2024,320 x 50,5614269563,",10869286,11238766,17743246,22834637230,",3657,10,"R$34,38 ","R$9,40 ","96,55%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246) » anchor (22834637230),5/2/2024,728 x 90,5614269563,",10869286,11238766,17743246,22834637230,",83,3,"R$0,78 ","R$9,40 ","89,16%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246) » in-article (21814237394) » outstream (22691595504),5/1/2024,300 x 250,5614269563,",10869286,11238766,17743246,21814237394,22691595504,",13,1,"R$0,12 ","R$9,40 ","92,31%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246) » in-article (21814237394) » outstream (22691595504),5/2/2024,300 x 250,5614269563,",10869286,11238766,17743246,21814237394,22691595504,",61,2,"R$0,57 ","R$9,40 ","91,80%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246) » story (22871016841),5/1/2024,320 x 50,5614269563,",10869286,11238766,17743246,22871016841,",39,0,"R$0,37 ","R$9,40 ","100,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246) » story (22871016841),5/2/2024,320 x 50,5614269563,",10869286,11238766,17743246,22871016841,",114,0,"R$1,07 ","R$9,40 ","98,25%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » home (21723566961),5/1/2024,300 x 250,5614258754,",10869286,11238766,21723566961,",16,0,"R$0,06 ","R$3,74 ","75,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » home (21723566961),5/1/2024,320 x 50,5614258754,",10869286,11238766,21723566961,",56,0,"R$0,21 ","R$3,74 ","69,64%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » home (21723566961),5/2/2024,300 x 250,5614258754,",10869286,11238766,21723566961,",30,0,"R$0,11 ","R$3,74 ","60,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » home (21723566961),5/2/2024,320 x 50,5614258754,",10869286,11238766,21723566961,",53,0,"R$0,20 ","R$3,74 ","83,02%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » home (21723566961),5/2/2024,970 x 250,5614258754,",10869286,11238766,21723566961,",1,0,"R$0,00 ","R$3,74 ","0,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),5/1/2024,320 x 50,5614258754,",10869286,11238766,21723566961,22835570053,",141,0,"R$0,53 ","R$3,74 ","92,91%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),5/2/2024,320 x 50,5614258754,",10869286,11238766,21723566961,22835570053,",68,0,"R$0,25 ","R$3,74 ","88,24%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),5/1/2024,300 x 250,5614258754,",10869286,11238766,21723566961,21814819361,22691595912,",30,0,"R$0,11 ","R$3,74 ","40,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),5/2/2024,300 x 250,5614258754,",10869286,11238766,21723566961,21814819361,22691595912,",41,0,"R$0,15 ","R$3,74 ","70,73%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/1/2024,300 x 250,5614258754,",10869286,11238766,21268726,",1006,0,"R$3,76 ","R$3,74 ","55,58%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/1/2024,320 x 50,5614258754,",10869286,11238766,21268726,",2301,0,"R$8,61 ","R$3,74 ","91,63%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/1/2024,970 x 250,5614258754,",10869286,11238766,21268726,",9,0,"R$0,03 ","R$3,74 ","66,67%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/2/2024,300 x 250,5614258754,",10869286,11238766,21268726,",1142,0,"R$4,27 ","R$3,74 ","59,96%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/2/2024,320 x 50,5614258754,",10869286,11238766,21268726,",1033,0,"R$3,86 ","R$3,74 ","84,34%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/2/2024,970 x 250,5614258754,",10869286,11238766,21268726,",15,0,"R$0,06 ","R$3,74 ","60,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » anchor (22834992269),5/1/2024,320 x 50,5614258754,",10869286,11238766,21268726,22834992269,",1294,0,"R$4,84 ","R$3,74 ","97,45%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » anchor (22834992269),5/2/2024,320 x 50,5614258754,",10869286,11238766,21268726,22834992269,",1648,0,"R$6,16 ","R$3,74 ","97,63%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » in-article (21814348402) » outstream (22691595903),5/1/2024,300 x 250,5614258754,",10869286,11238766,21268726,21814348402,22691595903,",332,0,"R$1,24 ","R$3,74 ","53,61%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » in-article (21814348402) » outstream (22691595903),5/2/2024,300 x 250,5614258754,",10869286,11238766,21268726,21814348402,22691595903,",789,0,"R$2,95 ","R$3,74 ","64,13%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),5/1/2024,300 x 250,5614258754,",10869286,11238766,21722702436,",28,0,"R$0,10 ","R$3,74 ","57,14%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),5/1/2024,320 x 50,5614258754,",10869286,11238766,21722702436,",11,0,"R$0,04 ","R$3,74 ","90,91%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),5/1/2024,970 x 250,5614258754,",10869286,11238766,21722702436,",6,0,"R$0,02 ","R$3,74 ","83,33%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),5/2/2024,300 x 250,5614258754,",10869286,11238766,21722702436,",11,0,"R$0,04 ","R$3,74 ","72,73%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),5/2/2024,320 x 50,5614258754,",10869286,11238766,21722702436,",5,0,"R$0,02 ","R$3,74 ","80,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » noticias (21722702436) » anchor (22835337900),5/1/2024,320 x 50,5614258754,",10869286,11238766,21722702436,22835337900,",1,0,"R$0,00 ","R$3,74 ","100,00%"
