Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$)
-,parceiros (10869286) » ne_10 (11238766),2/1/2024,0 x 0,-1,",10869286,11238766,",236,0,"R$0,25 "
-,parceiros (10869286) » ne_10 (11238766),2/2/2024,0 x 0,-1,",10869286,11238766,",165,0,"R$0,16 "
-,parceiros (10869286) » ne_10 (11238766),2/3/2024,0 x 0,-1,",10869286,11238766,",163,0,"R$0,16 "
-,parceiros (10869286) » ne_10 (11238766),2/4/2024,0 x 0,-1,",10869286,11238766,",145,0,"R$0,20 "
-,parceiros (10869286) » ne_10 (11238766),2/5/2024,0 x 0,-1,",10869286,11238766,",101,0,"R$0,08 "
-,parceiros (10869286) » ne_10 (11238766),2/6/2024,0 x 0,-1,",10869286,11238766,",103,0,"R$0,12 "
-,parceiros (10869286) » ne_10 (11238766),2/7/2024,0 x 0,-1,",10869286,11238766,",129,0,"R$0,17 "
-,parceiros (10869286) » ne_10 (11238766),2/8/2024,0 x 0,-1,",10869286,11238766,",46,0,"R$0,11 "
-,parceiros (10869286) » ne_10 (11238766),2/9/2024,0 x 0,-1,",10869286,11238766,",94,0,"R$0,21 "
-,parceiros (10869286) » ne_10 (11238766),2/10/2024,0 x 0,-1,",10869286,11238766,",75,0,"R$0,18 "
-,parceiros (10869286) » ne_10 (11238766),2/11/2024,0 x 0,-1,",10869286,11238766,",47,0,"R$0,10 "
-,parceiros (10869286) » ne_10 (11238766),2/12/2024,0 x 0,-1,",10869286,11238766,",78,0,"R$0,20 "
-,parceiros (10869286) » ne_10 (11238766),2/13/2024,0 x 0,-1,",10869286,11238766,",53,0,"R$0,13 "
-,parceiros (10869286) » ne_10 (11238766),2/14/2024,0 x 0,-1,",10869286,11238766,",42,0,"R$0,17 "
-,parceiros (10869286) » ne_10 (11238766) » amp_stories (22722284121),2/13/2024,0 x 0,-1,",10869286,11238766,22722284121,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/1/2024,0 x 0,-1,",10869286,11238766,22834406532,",299,1,"R$0,24 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/2/2024,0 x 0,-1,",10869286,11238766,22834406532,",517,0,"R$0,65 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/3/2024,0 x 0,-1,",10869286,11238766,22834406532,",88,0,"R$0,19 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/4/2024,0 x 0,-1,",10869286,11238766,22834406532,",83,0,"R$0,06 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/5/2024,0 x 0,-1,",10869286,11238766,22834406532,",249,0,"R$0,26 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/6/2024,0 x 0,-1,",10869286,11238766,22834406532,",170,0,"R$0,16 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/7/2024,0 x 0,-1,",10869286,11238766,22834406532,",61,0,"R$0,05 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/8/2024,0 x 0,-1,",10869286,11238766,22834406532,",11,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/9/2024,0 x 0,-1,",10869286,11238766,22834406532,",119,0,"R$0,10 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/10/2024,0 x 0,-1,",10869286,11238766,22834406532,",91,0,"R$0,10 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/11/2024,0 x 0,-1,",10869286,11238766,22834406532,",107,0,"R$0,08 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/12/2024,0 x 0,-1,",10869286,11238766,22834406532,",147,0,"R$0,11 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/13/2024,0 x 0,-1,",10869286,11238766,22834406532,",128,0,"R$0,11 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/14/2024,0 x 0,-1,",10869286,11238766,22834406532,",207,0,"R$0,14 "
-,parceiros (10869286) » ne_10 (11238766) » entretenimento (21722649521),2/2/2024,0 x 0,-1,",10869286,11238766,21722649521,",7,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » entretenimento (21722649521),2/10/2024,0 x 0,-1,",10869286,11238766,21722649521,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » entretenimento (21722649521),2/13/2024,0 x 0,-1,",10869286,11238766,21722649521,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/1/2024,0 x 0,-1,",10869286,11238766,21723566961,",1911,0,"R$2,98 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/2/2024,0 x 0,-1,",10869286,11238766,21723566961,",1434,0,"R$2,65 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/3/2024,0 x 0,-1,",10869286,11238766,21723566961,",493,0,"R$1,42 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/4/2024,0 x 0,-1,",10869286,11238766,21723566961,",552,0,"R$1,02 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/5/2024,0 x 0,-1,",10869286,11238766,21723566961,",1050,1,"R$2,46 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/6/2024,0 x 0,-1,",10869286,11238766,21723566961,",1243,0,"R$2,43 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/7/2024,0 x 0,-1,",10869286,11238766,21723566961,",1309,0,"R$2,42 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/8/2024,0 x 0,-1,",10869286,11238766,21723566961,",643,1,"R$1,76 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/9/2024,0 x 0,-1,",10869286,11238766,21723566961,",732,0,"R$1,70 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/10/2024,0 x 0,-1,",10869286,11238766,21723566961,",584,0,"R$1,35 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/11/2024,0 x 0,-1,",10869286,11238766,21723566961,",519,1,"R$1,43 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/12/2024,0 x 0,-1,",10869286,11238766,21723566961,",651,0,"R$1,39 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/13/2024,0 x 0,-1,",10869286,11238766,21723566961,",538,1,"R$1,31 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/14/2024,0 x 0,-1,",10869286,11238766,21723566961,",717,0,"R$1,94 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/1/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",2647,2,"R$2,71 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/2/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",1917,5,"R$2,13 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/3/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",147,2,"R$0,54 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/4/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",376,0,"R$1,01 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/5/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",2515,7,"R$2,82 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/6/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",2668,6,"R$2,80 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/7/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",1607,3,"R$1,83 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/8/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",87,0,"R$0,11 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/9/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",1336,3,"R$1,47 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/10/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",816,0,"R$1,61 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/11/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",1253,1,"R$0,74 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/12/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",846,0,"R$0,66 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/13/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",496,1,"R$0,52 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/14/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",1313,1,"R$1,23 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/1/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",24,1,"R$0,27 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/2/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",89,0,"R$0,30 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/3/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",66,2,"R$0,41 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/4/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",71,0,"R$0,23 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/5/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",146,0,"R$0,64 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/6/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",166,0,"R$0,39 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/7/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",57,0,"R$0,48 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/8/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",21,0,"R$0,34 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/9/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",71,0,"R$0,60 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/10/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",60,0,"R$0,39 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/11/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",41,0,"R$0,19 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/12/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",29,0,"R$0,11 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/13/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",21,0,"R$0,16 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/14/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",25,0,"R$0,10 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/1/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",100,0,"R$0,16 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/2/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",128,0,"R$0,13 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/3/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",5,0,"R$0,02 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/4/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",7,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/5/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",119,0,"R$0,20 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/6/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",112,0,"R$0,09 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/7/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",96,0,"R$0,15 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/8/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",95,0,"R$0,19 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/9/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",34,0,"R$0,08 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/10/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",20,0,"R$0,04 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/11/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",10,0,"R$0,02 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/12/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",9,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/13/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",6,0,"R$0,02 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/14/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",64,0,"R$0,04 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/1/2024,0 x 0,-1,",10869286,11238766,21720229610,",5,0,"R$0,02 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/2/2024,0 x 0,-1,",10869286,11238766,21720229610,",14,0,"R$0,32 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/3/2024,0 x 0,-1,",10869286,11238766,21720229610,",13,0,"R$0,08 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/4/2024,0 x 0,-1,",10869286,11238766,21720229610,",12,0,"R$0,09 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/5/2024,0 x 0,-1,",10869286,11238766,21720229610,",19,0,"R$0,04 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/6/2024,0 x 0,-1,",10869286,11238766,21720229610,",17,0,"R$0,10 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/7/2024,0 x 0,-1,",10869286,11238766,21720229610,",54,0,"R$0,12 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/8/2024,0 x 0,-1,",10869286,11238766,21720229610,",21,0,"R$0,15 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/9/2024,0 x 0,-1,",10869286,11238766,21720229610,",13,0,"R$0,03 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/10/2024,0 x 0,-1,",10869286,11238766,21720229610,",8,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/11/2024,0 x 0,-1,",10869286,11238766,21720229610,",15,0,"R$0,05 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/12/2024,0 x 0,-1,",10869286,11238766,21720229610,",3,1,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/14/2024,0 x 0,-1,",10869286,11238766,21720229610,",26,1,"R$0,03 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/1/2024,0 x 0,-1,",10869286,11238766,21737767482,",45,0,"R$0,28 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/2/2024,0 x 0,-1,",10869286,11238766,21737767482,",40,0,"R$0,24 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/3/2024,0 x 0,-1,",10869286,11238766,21737767482,",56,1,"R$0,56 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/4/2024,0 x 0,-1,",10869286,11238766,21737767482,",64,1,"R$0,74 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/5/2024,0 x 0,-1,",10869286,11238766,21737767482,",55,0,"R$0,56 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/6/2024,0 x 0,-1,",10869286,11238766,21737767482,",39,0,"R$0,21 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/7/2024,0 x 0,-1,",10869286,11238766,21737767482,",65,3,"R$0,39 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/8/2024,0 x 0,-1,",10869286,11238766,21737767482,",37,2,"R$0,29 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/9/2024,0 x 0,-1,",10869286,11238766,21737767482,",30,0,"R$0,24 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/10/2024,0 x 0,-1,",10869286,11238766,21737767482,",32,0,"R$0,28 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/11/2024,0 x 0,-1,",10869286,11238766,21737767482,",49,0,"R$0,43 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/12/2024,0 x 0,-1,",10869286,11238766,21737767482,",96,1,"R$0,78 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/13/2024,0 x 0,-1,",10869286,11238766,21737767482,",110,2,"R$0,68 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/14/2024,0 x 0,-1,",10869286,11238766,21737767482,",117,3,"R$0,72 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » amp_stories (22722750494),2/3/2024,0 x 0,-1,",10869286,11238766,21737767482,22722750494,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » amp_stories (22722750494),2/4/2024,0 x 0,-1,",10869286,11238766,21737767482,22722750494,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » amp_stories (22722750494),2/9/2024,0 x 0,-1,",10869286,11238766,21737767482,22722750494,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » amp_stories (22722750494),2/11/2024,0 x 0,-1,",10869286,11238766,21737767482,22722750494,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/1/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",202,1,"R$0,49 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/2/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",86,0,"R$0,37 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/3/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",178,1,"R$0,43 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/4/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",333,1,"R$1,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/5/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",457,0,"R$0,76 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/6/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",563,1,"R$0,74 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/7/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",617,0,"R$0,77 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/8/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",3,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/9/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",40,2,"R$0,39 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/10/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",41,0,"R$0,44 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/11/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",54,0,"R$0,60 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/12/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",60,0,"R$0,54 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/13/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",70,0,"R$0,62 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/14/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",574,1,"R$1,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/1/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",3,0,"R$0,05 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/2/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",21,0,"R$0,04 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/3/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",36,1,"R$0,03 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/4/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",34,0,"R$0,07 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/5/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",61,1,"R$0,14 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/6/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",53,0,"R$0,04 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/7/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",43,0,"R$0,08 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/8/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",17,0,"R$0,12 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/9/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",41,0,"R$0,02 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/10/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",38,1,"R$0,13 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/11/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",19,0,"R$0,10 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/12/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",8,0,"R$0,03 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/13/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",10,0,"R$0,11 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/14/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",51,0,"R$0,06 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/1/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",16,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/2/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",2,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/3/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",6,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/5/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",12,0,"R$0,06 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/6/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",3,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/7/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",4,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/8/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/11/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",2,0,"R$0,02 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/13/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/14/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",8,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » produtos (22024412677) » trofeu (22024507104),2/8/2024,0 x 0,-1,",10869286,11238766,21737767482,22024412677,22024507104,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » radio_jornal (22042866649) » caruaru (22042962197) » video (22683744243),2/1/2024,0 x 0,-1,",10869286,11238766,21737767482,22042866649,22042962197,22683744243,",3,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » radio_jornal (22042866649) » caruaru (22042962197) » video (22683744243),2/3/2024,0 x 0,-1,",10869286,11238766,21737767482,22042866649,22042962197,22683744243,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » radio_jornal (22042866649) » caruaru (22042962197) » video (22683744243),2/4/2024,0 x 0,-1,",10869286,11238766,21737767482,22042866649,22042962197,22683744243,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » radio_jornal (22042866649) » caruaru (22042962197) » video (22683744243),2/9/2024,0 x 0,-1,",10869286,11238766,21737767482,22042866649,22042962197,22683744243,",1,1,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » radio_jornal (22042866649) » caruaru (22042962197) » video (22683744243),2/12/2024,0 x 0,-1,",10869286,11238766,21737767482,22042866649,22042962197,22683744243,",1,0,"R$0,00 "
